city,property_type,neighbourhood,listing_url,room_type,guests,bedrooms,beds,bathrooms,bathroom_type,price_per_night,rating,review_count,latitude,longitude,is_superhost,host_response_rate,host_identity_verified,free_cancellation,amenities
"Los Angeles, CA, USA",Home,Malibu,https://www.airbnb.com/rooms/1596739057740115269,Entire home,8.0,2.0,5.0,2.0,private,1258,5.0,39,34.06684,-118.67309,True,100.0,True,False,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Outdoor shower, Hot water, Shower gel, Washer, Free dryer, Hangers, Bed linens, Extra pillows and blankets, Iron, Drying rack for clothing, Clothing storage, TV, Record player, Books and reading material, Movie theater, Life size games, Crib - available upon request, Board games, Air conditioning, Ceiling fan, Heating - split type ductless system, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Mini fridge, Freezer, Dishwasher, Gas stove, Oven, Hot water kettle, Coffee maker: Keurig coffee machine, Wine glasses, Toaster, Blender, Barbecue utensils, Dining table, Coffee, Private patio or balcony, Fire pit, Outdoor furniture, Hammock, Outdoor dining area, BBQ grill, Beach essentials, Sun loungers, Free parking on premises, Private outdoor pool - available all year, open 24 hours, heated, infinity, Hot tub, Private sauna, Pets allowed, Luggage dropoff allowed, Breakfast, Self check-in, Keypad, Housekeeping - available at extra cost, Unavailable: EssentialsEssentials"
"Los Angeles, CA, USA",Apartment,Vernon,https://www.airbnb.com/rooms/1640195326455382137,Entire rental unit,3.0,1.0,2.0,1.0,private,291,4.77,2,34.01345,-118.23624,True,100.0,True,False,"Valley view, City skyline view, Bathtub, Hair dryer, Cleaning products, Shampoo, Hot water, Shower gel, Washer, Free dryer – In unit, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage, TV, Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat, Air conditioning, Heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, Wifi, Dedicated workspace, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Stove, Stainless steel oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Trash compactor, Dining table, Coffee, Private patio or balcony, BBQ grill, Free residential garage on premises – 1 space, Pool, Hot tub, Elevator, EV charger - level 2, Shared gym in building, Paid parking garage on premises, Long term stays allowed, Self check-in, Lockbox, Unavailable: EssentialsEssentials"
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/1220699370253252798,Entire home,10.0,4.0,8.0,3.0,private,500,5.0,1,34.18719,-118.37326,False,100.0,True,False,"Garden view, Hair dryer, Cleaning products, Shampoo, Conditioner, Hot water, Shower gel, Free washer – In building, Free dryer – In building, Essentials, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage, Ethernet connection, TV, Sound system, Game console, Crib, Pack ’n play/Travel crib, Central air conditioning, Indoor fireplace: wood-burning, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fast wifi – 714 Mbps, Dedicated workspace, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Barbecue utensils, Dining table, Private entrance, Patio or balcony, Backyard, Outdoor furniture, Outdoor dining area, Private BBQ grill: charcoal, gas, Sun loungers, Free parking garage on premises, Private outdoor pool, Private hot tub - available all year, open 24 hours, EV charger - level 2, tesla only, Pets allowed, Long term stays allowed, Self check-in, Lockbox"
"Los Angeles, CA, USA",Tiny home,Topanga,https://www.airbnb.com/rooms/984107417862937992,,2.0,1.0,1.0,1.0,private,314,4.96,290,34.07873,-118.60588,True,100.0,True,False,"Shampoo, Conditioner, Body soap, Outdoor shower, Hot water, Essentials, Hangers, Portable air conditioning, Portable heater, Heating - split type ductless system, Wifi, Free parking on premises, Private hot tub, Unavailable: Exterior security cameras on propertyExterior security cameras on property, Unavailable: KitchenKitchen, Unavailable: TVTV, Unavailable: WasherWasher, Unavailable: DryerDryer, Unavailable: Smoke alarmSmoke alarm, Unavailable: Carbon monoxide alarmCarbon monoxide alarm"
"Los Angeles, CA, USA",Home,Los Angeles County,https://www.airbnb.com/rooms/1590928612173170115,Entire home,4.0,3.0,3.0,3.0,private,377,5.0,7,34.09098,-118.60125,False,100.0,True,False,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel, Washer, Dryer, Essentials, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage, TV, Exercise equipment, Pool table, Books and reading material, Fireplace guards, Board games, Air conditioning, Indoor fireplace, Heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Dedicated workspace, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Barbecue utensils, Dining table, Coffee, Private entrance, Patio or balcony, Backyard, Outdoor furniture, Outdoor dining area, BBQ grill, Sun loungers, Free parking on premises, Free street parking, Pets allowed, Luggage dropoff allowed, Long term stays allowed, Self check-in, Keypad"
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/48170773,Entire home,4.0,3.0,3.0,3.0,private,811,4.96,212,34.10689,-118.36684,True,100.0,True,False,"Mountain view, Bathtub, Hair dryer, Cleaning products, Dove shampoo, Dove conditioner, Dove body soap, Hot water, Shower gel, Free washer – In building, Free dryer – In building, Essentials, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage: walk-in closet, closet, and dresser, Ethernet connection, 83 inch HDTV with DVD player, Sonos sound system, Game console: PS4, Books and reading material, Children’s books and toys for ages 5-10 years old, Fireplace guards, Central air conditioning, Indoor fireplace: electric, gas, Portable fans, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Kitchen, Sub Zero refrigerator, Cooking basics, Dishes and silverware, Mini fridge, Freezer, Dishwasher, Wolf stainless steel induction stove, Miele stainless steel oven, Hot water kettle, Coffee maker: Keurig coffee machine, Wine glasses, Toaster, Barbecue utensils, Dining table, Coffee, Private entrance, Laundromat nearby, Private patio or balcony, Private backyard – Fully fenced, Fire pit, Outdoor furniture, BBQ grill: gas, Free parking on premises, Free street parking, Paid street parking off premises, Self check-in, Lockbox"
"Los Angeles, CA, USA",Villa,Los Angeles,https://www.airbnb.com/rooms/659011938895363888,Entire villa,6.0,3.0,3.0,2.0,private,1243,4.95,39,34.1102,-118.3755,True,99.0,True,False,"Shampoo, Conditioner, Hot water, Washer, Free dryer – In unit, Hangers, Room-darkening shades, Clothing storage: walk-in closet, TV, Piano, Exercise equipment, Air conditioning, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, Wifi, Kitchen, Viking refrigerator, Microwave, Cooking basics, Dishes and silverware, Dishwasher, Viking stainless steel gas stove, Viking stainless steel double oven, Coffee maker: drip coffee maker, Dining table, Coffee, Private entrance, Private patio or balcony, Outdoor furniture, Sun loungers, Free driveway parking on premises – 2 spaces, Private hot tub, EV charger - level 2, tesla only, Self check-in, Keypad, Unavailable: Hair dryerHair dryer, Unavailable: EssentialsEssentials"
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/1644374965013913778,Entire home,8.0,3.0,4.0,3.0,private,253,5.0,1,34.0869,-118.1887,False,100.0,True,False,"Hair dryer, Shampoo, Conditioner, Body soap, Hot water, Shower gel, Washer, Free dryer – In unit, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage, TV, Fireplace guards, Air conditioning, Indoor fireplace, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Dedicated workspace, Kitchen, Samsung refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Samsung stainless steel gas stove, Samsung stainless steel oven, Coffee maker: Keurig coffee machine, Wine glasses, Dining table, Coffee, Private entrance, Private patio or balcony, Backyard, Free parking on premises, Self check-in, Keypad, Unavailable: EssentialsEssentials"
"Los Angeles, CA, USA",Apartment,Vernon,https://www.airbnb.com/rooms/1048761407045541691,Entire rental unit,5.0,2.0,2.0,2.0,private,432,4.97,179,34.01352,-118.23823,True,100.0,True,False,"City skyline view, Mountain view, Bathtub, Hair dryer, Cleaning products, Nexus shampoo, Nexus conditioner, Neutrogena body soap, Hot water, Shower gel, Free washer – In unit, Free dryer – In unit, Essentials, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: walk-in closet and closet, Ethernet connection, 75 inch HDTV with Hulu, Netflix, Roku, Books and reading material, Pack ’n play/Travel crib - available upon request, Window guards, Central air conditioning, Ceiling fan, Portable fans, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Dedicated workspace, Kitchen, Kenmore refrigerator, Microwave, Cooking basics, Dishes and silverware, Mini fridge, Freezer, Dishwasher, Kenmore stainless steel gas stove, Kenmore stainless steel oven, Hot water kettle, Coffee maker: Keurig coffee machine, Wine glasses, Toaster, Baking sheet, Blender, Rice maker, Barbecue utensils, Dining table, Coffee, Bread maker, Private entrance, Laundromat nearby, Free resort access, Private patio or balcony, Outdoor furniture, Outdoor dining area, Sun loungers, Free residential garage on premises – 1 space, Sauna, Elevator, Paid parking garage off premises, Paid parking garage on premises, Single level home, Long term stays allowed, Self check-in, Keypad, Cleaning available during stay"
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/37654064,Entire home,6.0,2.0,3.0,2.0,private,501,4.99,485,34.10336,-118.35966,True,100.0,True,False,"City skyline view, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel, Washer, Dryer, Essentials, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage: closet and dresser, 65 inch HDTV with Apple TV, HBO Max, Netflix, Bluetooth sound system, Air conditioning, Indoor fireplace, Heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Dedicated workspace, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Mini fridge, Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Coffee, Private entrance, Patio or balcony, Outdoor furniture, Outdoor dining area, BBQ grill, Free parking on premises, Free street parking, EV charger, Single level home, Long term stays allowed, Self check-in, Smart lock"
